Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,success,tau_prior_mode,t_peak,t_peak_repr,mu_tau_prior,sig_tau_prior,flat_ratio,tau_fixed,lambda_med,lambda_q025,lambda_q975,lambda_q16,lambda_q84,tau_med,tau_q025,tau_q975,tau_q16,tau_q84,beta_med,beta_q025,beta_q975,beta_q16,beta_q84
S3_tau_fixed_1,F7,10,0.0,420.0,0.6783125,0.012588052580464255,True,,,,,,,1.0,0.00198974640439762,0.0015730363560155487,0.0026317339502531633,0.0017547018358210148,0.0022808231921675973,1.0,1.0,1.0,1.0,1.0,0.9487065166166118,0.21290620960994563,1.8684834517515037,0.5480975139568152,1.3913478438997584
S3_tau_fixed_1,F70,10,0.0,420.0,0.6750138888888889,0.010365723579036704,True,,,,,,,1.0,0.0020300358971136875,0.0018825241748586805,0.002310112192753747,0.0019433156209847581,0.002156879978230237,1.0,1.0,1.0,1.0,1.0,0.13312361932091743,0.0075772578592728295,0.4275296737367711,0.04309836508927772,0.2675343904315028
S3_tau_fixed_1,F71,10,0.0,420.0,0.6762361111111111,0.012280703483110092,True,,,,,,,1.0,0.0024005653961646136,0.002187276690608977,0.0027310361018097044,0.0022736631463074384,0.0025569931532952502,1.0,1.0,1.0,1.0,1.0,0.17325748384429826,0.017019793524835774,0.412379201716496,0.07726633201847963,0.28770323873332515
S3_tau_fixed_1,F72,10,0.0,420.0,0.6688472222222224,0.010775006912619444,True,,,,,,,1.0,0.0017412532300140069,0.001579476700517612,0.0020775507083114894,0.0016442399229413694,0.001889559275280425,1.0,1.0,1.0,1.0,1.0,0.2218022183267097,0.011770753606754326,0.7316636686650461,0.0695841404024845,0.45711336535836794
S3_tau_fixed_1,F73,10,0.0,420.0,0.6763750000000001,0.01096441353505803,True,,,,,,,1.0,0.0023986573939242693,0.0021822095763765308,0.0027283850138323695,0.0022706635574986714,0.0025545265369199027,1.0,1.0,1.0,1.0,1.0,0.17683595662605933,0.018789752808433122,0.4197973241287217,0.07955044782534558,0.2932949308732461
S3_tau_fixed_1,F74,10,0.0,420.0,0.6846874999999999,0.012771039315612904,True,,,,,,,1.0,0.002415434719891154,0.0022786096447683208,0.0026543643841240427,0.0023375800246819033,0.002521535771247634,1.0,1.0,1.0,1.0,1.0,0.0667591139328888,0.0042860697997562465,0.22382632260698618,0.02137075424620558,0.13726752910016227
S3_tau_fixed_1,F75,10,0.0,420.0,0.6720972222222222,0.011526345482325078,True,,,,,,,1.0,0.0019014687732001473,0.0017563171357414637,0.002199629724868771,0.0018158379133509425,0.002029947730111517,1.0,1.0,1.0,1.0,1.0,0.1482197264480047,0.008209454413213479,0.5112726169260539,0.046241004226466764,0.3114461097727723
S3_tau_fixed_1,F76,10,0.0,420.0,0.6936458333333334,0.021610101348047254,True,,,,,,,1.0,0.002230713575694418,0.0021216161574602052,0.002408040155944803,0.0021710608401432152,0.0023090923441522475,1.0,1.0,1.0,1.0,1.0,0.044566057064670796,0.002712941116735674,0.18472887470006502,0.012597461155268747,0.10493646551085624
S3_tau_fixed_1,F77,10,0.0,420.0,0.6886597222222223,0.023348241113824195,True,,,,,,,1.0,0.0026178525183730523,0.0024778110760395344,0.0028485090073062697,0.0025410761071635417,0.002719094509769075,1.0,1.0,1.0,1.0,1.0,0.050618931367293625,0.0028924760458595503,0.1992805589928397,0.013677935049207418,0.1202822332636338
S3_tau_fixed_1,F78,10,0.0,420.0,0.6779305555555556,0.012060318888769229,True,,,,,,,1.0,0.0020351982625216643,0.001901368728105134,0.002288143125151782,0.0019579481438369395,0.002144544683768094,1.0,1.0,1.0,1.0,1.0,0.09877458485666407,0.005519400334399495,0.35619532298152445,0.02893861157609316,0.21431529921296108
