Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975
S3_tau_fixed_1_n1,F52,10,0.0,420.0,0.6766805555555555,0.011806611455141973,0.001582056091629217,0.0016384577968243622,0.001714617488890815,0.001828609565690729,0.001981633208049604,0.0068819122904671005,0.0417511720010236,0.14793023759767226,0.3291404552924911,0.5620025303085951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F53,10,0.0,420.0,0.6797430555555556,0.014612058176297073,0.0015759405415746008,0.0016303996973254507,0.0016973323506577136,0.0017965797637311165,0.0019324873903501017,0.005415171093956366,0.031465746259385224,0.11646333901621278,0.2758283041267565,0.4900396498808664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F54,10,0.0,420.0,0.6672569444444445,0.00899445253381149,0.0018312994448228806,0.0018983145549831466,0.0019975214322685477,0.00213849262799693,0.002304350009582856,0.009025668154763156,0.05195225733806072,0.16788069641534004,0.32816454829601627,0.5090782213345997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F55,10,0.0,420.0,0.6824583333333333,0.014642262982148213,0.0015190728483715128,0.0015737516528367493,0.0016429257532220272,0.0017435343435333378,0.0018794452261840626,0.006404090257657782,0.03721949199647658,0.13467197924493501,0.3089942912342344,0.5450919085790905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F56,10,0.0,420.0,0.6695625,0.00834430658700652,0.0017300314448271618,0.001792037226265199,0.001880020201758984,0.0020144128959100186,0.002186876969701856,0.008113444647029691,0.04952013752132882,0.16319718399043914,0.335619194069303,0.551181201413728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F57,10,0.0,420.0,0.6714027777777778,0.00834439896874654,0.0017524888457200237,0.0018175579250752495,0.0019122189567153396,0.002052597303253947,0.0022177810555494763,0.009739510429346749,0.05406837344796213,0.16878162128718532,0.34187373671042626,0.5489093940167851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F58,10,0.0,420.0,0.6652013888888889,0.006548900847877485,0.0017634310430968815,0.0018363402000167186,0.0019484101576059975,0.002107249127292836,0.002290925417705533,0.013286774056923264,0.07619762086728936,0.22071643472196595,0.41405907832066147,0.6295345985435516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F59,10,0.0,420.0,0.6734166666666667,0.007975251289643158,0.0020153467884057074,0.0021143192474041253,0.0022588278132321875,0.0024314531580606996,0.0026310637402290602,0.02617960871959886,0.11526871582542657,0.24936190401994,0.4066112513416653,0.5738909382458146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F6,10,0.0,420.0,0.6731597222222222,0.013563600460516306,0.0010227037726285827,0.001273017742301034,0.0016928590740311548,0.002351123318314158,0.0033574389682002673,0.9717812407332359,2.2263746403272364,3.887251399345237,5.874330293923841,7.9804035382499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F60,10,0.0,420.0,0.6790694444444444,0.011442871103116753,0.001835410152198597,0.0018934494088284042,0.0019721510369846247,0.0020855097944382883,0.0022285918664686354,0.005896266532230903,0.0343986201405853,0.11358485540881272,0.2443344586266601,0.40652469757378673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F61,10,0.0,420.0,0.6767708333333333,0.009363278493637371,0.001831623810396497,0.0018889421373446732,0.001969213776132811,0.002085784617778957,0.002242910448650719,0.006365818083930932,0.035194918769426334,0.11782052627343334,0.25211284649348886,0.41870443988478506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F62,10,0.0,420.0,0.6738472222222222,0.009630992690501067,0.0018772930011650346,0.001939443863793722,0.0020275989097097275,0.002155005802239851,0.0023148958813315845,0.006983546439422242,0.04056528353241699,0.13044727676065943,0.26852757711518643,0.432858163046268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F63,10,0.0,420.0,0.6758402777777778,0.010994219007567783,0.0017256520027380024,0.0017833920325183933,0.0018634653014397947,0.001983810694397745,0.002140274679412882,0.006995115453553544,0.040489204710923786,0.1362901480532716,0.2912257167834083,0.48719212181336446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F64,10,0.0,420.0,0.6714166666666666,0.005690787824513584,0.002027981957971814,0.0021188995921503514,0.0022566100024431486,0.002423763494802267,0.0026189104389937744,0.021550662433987792,0.09781902444035624,0.2259419939258735,0.37778584953107547,0.542999738651646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
