Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975
S4_lambda_only_tau1_beta1_n1,F33,10,0.0,420.0,0.8096944444444444,0.016653007767391554,0.001608345436099285,0.001677800123769002,0.0017504659057240464,0.0018242621143577627,0.001897024159376039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F34,10,0.0,420.0,0.8066597222222223,0.031589865234167874,0.0031177989417240782,0.003224939367726439,0.0033398386941722287,0.0034597935941146443,0.0035803240183333402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F35,10,0.0,420.0,0.8054583333333333,0.023570519138030155,0.0023836875184353426,0.002474364266335585,0.002568220488272768,0.002663302447170647,0.0027556610492211462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F36,10,0.0,420.0,0.8081180555555556,0.033721734325083755,0.0025511608190454172,0.002640802235447167,0.002737496195317028,0.0028366569564472585,0.002934368210484926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F37,10,0.0,420.0,0.8048541666666665,0.13054897306735208,0.023080882615334135,0.024870777412168667,0.026874098728391298,0.02899145855102508,0.031171302836279856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F38,10,0.0,420.0,0.6876041666666666,0.0348391015957645,0.19830578387357348,10.039302204467925,45.53014770228792,82.53041110037432,97.2963345396174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F39,10,0.0,420.0,0.8076805555555556,0.021202085483312896,0.0017193467200566665,0.0017928617729717192,0.001868313514853386,0.0019467710230205864,0.0020229300977789135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F4,10,0.0,420.0,0.8072569444444445,0.014010637885288241,0.002010341994025734,0.0020889429338018218,0.002171909651630968,0.0022576648080069256,0.0023435870349879685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F40,10,0.0,420.0,0.8075694444444443,0.009563644499618692,0.0010421047872528832,0.0011011789031048647,0.0011632972664391826,0.001225772673410809,0.0012874531463961856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F41,10,0.0,420.0,0.807236111111111,0.022224970884649965,0.0019143404650329406,0.0019914823354912174,0.0020712900045907175,0.0021537201250176473,0.00223652946022822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F42,10,0.0,420.0,0.8082777777777777,0.012518409216351079,0.0012174090798671086,0.0012789615872023285,0.001343106330533942,0.0014091004997921438,0.0014759610937424103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F43,10,0.0,420.0,0.8089999999999998,0.0259646444385408,0.0018051587038679616,0.0018798427008221695,0.0019582412623506346,0.0020362748304842138,0.002114478365684756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F44,10,0.0,420.0,0.8071527777777776,0.02501810622238197,0.0025681857003884367,0.002659632332838718,0.0027574712588432967,0.002858250810321675,0.00295557117171389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F45,10,0.0,420.0,0.8062569444444444,0.017521939930227024,0.0012685423232571256,0.00133133903682675,0.0013979277107333391,0.001465214108499341,0.0015306443351593656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F46,10,0.0,420.0,0.8089236111111111,0.034297391446265355,0.00259060145695488,0.002684100034268823,0.002783263253934497,0.0028860141477835342,0.0029890552511481045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F47,10,0.0,420.0,0.8075833333333332,0.015404623587177068,0.0014645919490386516,0.0015315277275639004,0.0016027108928133003,0.001674317018426362,0.0017468356470632176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F48,10,0.0,420.0,0.8062430555555556,0.012304092178413741,0.0012851568340962905,0.0013482399433347575,0.0014151368517902082,0.0014830218170141332,0.0015492534197655613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F49,10,0.0,420.0,0.8063194444444445,0.0318811800915771,0.11168188554235073,0.12155382823649497,0.1333401601424577,0.14749706416708416,0.16451723866002024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F5,10,0.0,420.0,0.8073263888888889,0.007567425697007711,0.0007104898198097381,0.0007630929100081655,0.0008174278550294252,0.0008736255004754694,0.0009296646716885853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
