hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
10,4,gelu,0.1,True,0.01,0.0867618021666949,0.03492635043420756
10,4,gelu,0.1,True,0.02,0.06437288384899358,0.015367059172891284
10,4,gelu,0.1,True,0.03,0.06155690665079262,0.016701415249560175
10,5,relu,0.0,True,0.01,0.07897303774757235,0.0416245852975529
10,5,relu,0.0,True,0.02,0.0758174363776027,0.024366513907636417
10,5,relu,0.0,True,0.03,0.06695817198383182,0.017955235753146663
10,5,relu,0.1,True,0.01,0.08359268007237709,0.024891476481918032
10,5,relu,0.1,True,0.02,0.0782390046525841,0.02759338624609789
10,5,relu,0.1,True,0.03,0.06799018109728351,0.014826773599361482
10,5,tanh,0.0,True,0.01,0.06769643943199333,0.020107920732242882
10,5,tanh,0.0,True,0.02,0.06279867526921769,0.016971619313175642
10,5,tanh,0.0,True,0.03,0.07547723888974785,0.02652595556433749
10,5,tanh,0.1,True,0.01,0.07793866219430746,0.017810556554076214
10,5,tanh,0.1,True,0.02,0.07696600632220317,0.01889362697812821
10,5,tanh,0.1,True,0.03,0.07165917880379766,0.011483976829371752
10,5,swish,0.0,True,0.01,0.06852333961896595,0.022006133771566988
10,5,swish,0.0,True,0.02,0.06966666237345863,0.0324509807740299
10,5,swish,0.0,True,0.03,0.058525943635201874,0.02348937672327691
10,5,swish,0.1,True,0.01,0.08810145057368926,0.020692490943980558
10,5,swish,0.1,True,0.02,0.07111301762998225,0.023598437324136416
10,5,swish,0.1,True,0.03,0.06216801355824756,0.018870094725550502
10,5,leakyrelu,0.0,True,0.01,0.08428786778918364,0.02783949215544497
10,5,leakyrelu,0.0,True,0.02,0.0719371510549436,0.030747462833601205
10,5,leakyrelu,0.0,True,0.03,0.07573353025101191,0.026758612932947755
10,5,leakyrelu,0.1,True,0.01,0.0876915752413509,0.03279961156276688
10,5,leakyrelu,0.1,True,0.02,0.07392907327491248,0.024291003367382803
10,5,leakyrelu,0.1,True,0.03,0.07562276814783572,0.01182326806058224
10,5,gelu,0.0,True,0.01,0.08098029846105906,0.033451513919886953
10,5,gelu,0.0,True,0.02,0.06496538302230252,0.014131358942367363
10,5,gelu,0.0,True,0.03,0.06422199537441993,0.02592786383503253
10,5,gelu,0.1,True,0.01,0.0776627068172039,0.02656003154110409
10,5,gelu,0.1,True,0.02,0.07926217233355277,0.025494805415549555
10,5,gelu,0.1,True,0.03,0.07339980930260677,0.027934142421372283
11,2,relu,0.0,True,0.01,0.08059717431548781,0.029972202392076125
11,2,relu,0.0,True,0.02,0.0722656737882148,0.02432281609170384
11,2,relu,0.0,True,0.03,0.07891665928816094,0.030037552857604587
11,2,relu,0.1,True,0.01,0.07934312159106939,0.02158707670560699
11,2,relu,0.1,True,0.02,0.0675332970259713,0.017472460118573032
11,2,relu,0.1,True,0.03,0.06910089387479022,0.02596057237682484
11,2,tanh,0.0,True,0.01,0.08983171679755439,0.02889535189571417
11,2,tanh,0.0,True,0.02,0.08269620100671296,0.030325757889337883
11,2,tanh,0.0,True,0.03,0.07725707862708772,0.030586564669207717
11,2,tanh,0.1,True,0.01,0.08532429329114682,0.01959348871921736
11,2,tanh,0.1,True,0.02,0.07951917348483423,0.02861348093682465
11,2,tanh,0.1,True,0.03,0.0800673583664672,0.033273909425751085
11,2,swish,0.0,True,0.01,0.07207806744054655,0.029097559778409793
11,2,swish,0.0,True,0.02,0.06593388170266115,0.018879175925799487
11,2,swish,0.0,True,0.03,0.06190072474029625,0.02308173700464996
11,2,swish,0.1,True,0.01,0.07451334373481644,0.02396266793284064
11,2,swish,0.1,True,0.02,0.06382949837596744,0.013342896019099278
11,2,swish,0.1,True,0.03,0.06674860122427721,0.02384221163803634
11,2,leakyrelu,0.0,True,0.01,0.08792648719190901,0.02569092861404976
11,2,leakyrelu,0.0,True,0.02,0.06960562483278615,0.028879319208160725
11,2,leakyrelu,0.0,True,0.03,0.0700952069588551,0.017690054684520663
11,2,leakyrelu,0.1,True,0.01,0.06768139961501096,0.020876760822602067
11,2,leakyrelu,0.1,True,0.02,0.07216709182054308,0.025791737117549646
11,2,leakyrelu,0.1,True,0.03,0.059128776445181816,0.016363494049081887
11,2,gelu,0.0,True,0.01,0.06316283115513255,0.02179250931010608
