loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps
absolute,onehot,34,4,relu,0.1,True,0.0354818756811665,0.0553145373111456,0.0089991162167029,adam,True,
absolute,onehot,33,4,mish,0.1,True,0.0334328781166217,0.0558957877375707,0.0164558502678342,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0390907145907752,0.0524901987239905,0.0077361503484258,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0287083298324953,0.0555002747063006,0.0249504293087186,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0465316477289578,0.0500863043988937,0.009180667189097,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0457846401021506,0.0509967086802557,0.0081265726772863,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0466366622145899,0.0483308336677891,0.0090234782707096,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0467879958624226,0.0516247585514906,0.0090371678038906,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0462574915525862,0.0486024400156307,0.009482157827975,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0470050929669447,0.0563477057952752,0.0092243335351222,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0493021356441233,0.0519526187979143,0.0098150581812826,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0458608951130168,0.0508223546346393,0.0062449532225929,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0489577772474142,0.0605045158458731,0.0179380316956749,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0459037919094239,0.0498836020975256,0.0108135401796519,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0456688138338498,0.056245351926151,0.0105283794770609,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0446058380664373,0.050676862671874,0.0087182428447064,adam,True,
absolute,onehot,36,5,mish,0.1,True,0.0497325147664068,0.0587775353881162,0.0072425297729669,adam,True,
absolute,onehot,36,4,tanh,0.1,True,0.044033680335384,0.0658568960629907,0.005656512452477,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0462296849629738,0.0520685361847056,0.0080041856546075,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0461216075810935,0.052751463683336,0.0126787164119623,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.049887163764743,0.0558799643802063,0.0078458052269544,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0426284307531663,0.0502497456900323,0.016646259898626,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0424492047637741,0.0546639373197221,0.0202965531538945,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0440442623300158,0.0519930191443994,0.0089909148291199,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0459581670318009,0.0587758101167411,0.0273069692331755,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0421659065725597,0.0585488522778663,0.0239636437538531,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0450256926398152,0.0526127352692559,0.0150484073860497,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0499859575287321,0.0662187384345904,0.0220957532646533,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0392053432384566,0.0503943395106422,0.0105746126334546,adam,True,
absolute,onehot,35,4,relu,0.1,True,0.0392098730397813,0.0701707390368233,0.0214882824068202,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0433787201686946,0.0566528954530704,0.0123091679999697,adam,True,
absolute,onehot,36,4,leakyrelu,0.1,True,0.0408776719916637,0.0626015587341265,0.0153613168970119,adam,True,
absolute,onehot,25,4,mish,0.1,True,0.0462938355385355,0.0558625956183384,0.0218865822149056,adam,True,
absolute,onehot,35,4,mish,0.1,True,0.0382775237180252,0.05513081453245,0.0218978080307859,adam,True,
absolute,onehot,36,4,mish,0.1,True,0.0062344114894738,0.0667848729980105,0.0222812669084526,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0431872482463038,0.0479230331012043,0.0057402674311031,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0417254832867248,0.0526554314844016,0.0143725059277472,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0436507918011638,0.0508427933996563,0.0079448941980959,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0437833764703807,0.0511270932715997,0.0115912827148675,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0497840302722877,0.0552865699869458,0.0105151486689975,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0394545043617773,0.0548605630800959,0.0160594547709565,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0433316869429337,0.0522195871025064,0.0106169564751383,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.037421947095549,0.0504530677176568,0.0054626637043702,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0021921383199043,0.0704011090802441,0.0254539663983398,adam,True,
absolute,onehot,36,5,gelu,0.1,True,0.037562813010071,0.0533274789971272,0.0170572733507504,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0407680841807119,0.0533693430122262,0.0160423879446361,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0378955345502844,0.0519202277717894,0.0135204464700221,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0431918262466748,0.0577713978129035,0.0144135613032968,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0374096226898967,0.0492238224297279,0.0076501989312119,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.046135412361325,0.0497064244004245,0.0111744136207954,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.036518995933742,0.0515278059602745,0.0226533692278678,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0414227948860387,0.0487334220724878,0.0062792285412193,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0400025348033188,0.0509150667248578,0.0079780442926515,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0393794729380726,0.061329639433985,0.0181396661186346,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0359300302792321,0.0530417496712074,0.0105664026016598,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0408896322723458,0.0500486865569864,0.0167100655059745,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0417701225801609,0.0566958233701474,0.0178351471515161,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0367134774103851,0.0566702745475999,0.0153871356493262,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0407010877710759,0.0479826690640889,0.0075625770775887,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0416418870419685,0.056605787925982,0.0102565434567427,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.046169985857225,0.0558882898077538,0.0077781320891737,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0383707331326548,0.0530666541614069,0.011657594788498,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0118079919286868,0.0568629255917324,0.024007570584084,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0433334754542436,0.0579396755885597,0.0152493751460997,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0470913417033739,0.0490160758177599,0.008754832332972,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0499054846865332,0.0591536008445085,0.0139187637851604,adam,True,
absolute,onehot,36,4,tanh,0.1,True,0.0469710150452384,0.0699624335061007,0.011969111047201,adam,True,
absolute,onehot,23,4,gelu,0.1,True,0.035990553441836,0.0560133927176113,0.0175949381087837,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0412997415536427,0.0557333516251041,0.0184099596809797,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0457497055049472,0.050856794475726,0.0122164229878894,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0433124977540571,0.0477667560107489,0.0090595716257297,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0399048263041699,0.0652147740509985,0.0253472532170906,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0462643117233352,0.0487349884367807,0.0108137127203426,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0381197476865215,0.0564046605299775,0.0153689022534927,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0350202908395528,0.0544184168654819,0.0130677725497045,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.042904364968703,0.057429354848468,0.0134782899665017,adam,True,
absolute,onehot,35,5,gelu,0.1,True,0.0473357054003642,0.062031929195631,0.0128491983642884,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0397435584637327,0.0517285408417351,0.0135848187257681,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0462036702766901,0.0493218842110114,0.0058887169252924,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0435084366079658,0.0567783180511838,0.0182199614439349,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0461954983572927,0.0546080781282957,0.0184927145772642,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0415240873180657,0.0563843978350557,0.0132500477448008,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0488561754969573,0.0557845791598384,0.0152911850427206,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0383646583906578,0.051348230324891,0.011268525600161,adam,True,
